show_id,type,title,director,cast,country,date_added,release_year,rating,duration,genre
s736,Movie,Decorating Disney: Holiday Magic,,"Whoopi Goldberg, Sofia Carson, Jordan Fisher",United States,"November 12, 2019",2017,TV-PG,42 min,"Documentary, Family, Reality"
s737,Movie,Deep Blue,"Alastair Fothergill, Andy Byatt",Pierce Brosnan,"United Kingdom, Germany","November 12, 2019",2005,G,91 min,"Animals & Nature, Documentary, Family"
s738,Movie,Descendants 2,Kenny Ortega,"Dove Cameron, Cameron Boyce, Sofia Carson, Booboo Stewart, Mitchell Hope, Brenna D'Amico",United States,"November 12, 2019",2017,TV-G,114 min,"Coming of Age, Fantasy, Musical"
s739,Movie,Diary Of A Wimpy Kid,Thor Freudenthal,"Zachary Gordon, Robert Capron, Rachel Harris, Steve Zahn, Connor Fielding, Owen Fielding","United States, United Kingdom","November 12, 2019",2010,PG,93 min,"Comedy, Family"
s740,Movie,Dinosaur,"Ralph Zondag, Eric Leighton","D.B. Sweeney, Alfre Woodard, Ossie Davis, Max Casella, Hayden Panettiere, Samuel Wright",United States,"November 12, 2019",2000,PG,84 min,"Action-Adventure, Animation, Family"
s741,Movie,Disney Adventures in Babysitting,John Schultz,"Sabrina Carpenter, Sofia Carson, Nikki Hahn, Mallory Mahoney, Max Gecowets, Jet Jurgensmeyer",United States,"November 12, 2019",2016,TV-G,95 min,"Action-Adventure, Comedy, Coming of Age"
s742,Movie,Disney Avalon High,Stuart Gillard,"Britt Robertson, Gregg Sulkin, Joey Pollari, Devon Graye, Molly Quinn, Don Lake",United States,"November 12, 2019",2010,TV-G,91 min,"Coming of Age, Fantasy"
s743,Movie,Disney Bad Hair Day,Érik Canuel,"Laura Marano, Leigh-Allyn Baker, Christian Campbell, Alain Goulem, Christian Paul, Kiana Madeira",Canada,"November 12, 2019",2015,TV-G,93 min,"Buddy, Comedy, Coming of Age"
s744,TV Show,Disney Bizaardvark,,"Madison Hu, Olivia Rodrigo, Jake Paul, DeVore Ledridge, Ethan Wacker",United States,"November 12, 2019",2015,TV-PG,3 Seasons,"Buddy, Comedy, Family"
s745,Movie,Disney Den Brother,Mark Taylor,"Hutch Dano, G. Hannelius, Maurice Godin, David Lambert, Kelsy Chow, Debra Mooney",United States,"November 12, 2019",2010,TV-G,90 min,"Comedy, Coming of Age"
s746,Movie,Disney Descendants,Kenny Ortega,"Dove Cameron, Cameron Boyce, Booboo Stewart, Sofia Carson, Mitchell Hope, Melanie Paxson",United States,"November 12, 2019",2015,TV-G,114 min,"Coming of Age, Fantasy, Musical"
s747,TV Show,Disney Descendants Wicked World (Shorts),,,United States,"November 12, 2019",2015,TV-G,2 Seasons,"Animation, Coming of Age, Fantasy"
s748,TV Show,Disney DuckTales (Shorts),,,,"November 12, 2019",2016,TV-Y7,1 Season,"Action-Adventure, Animation, Comedy"
s749,TV Show,Disney Evermoor,,"Naomi Sequeira, Jordan Loughran, Belinda Stewart-Wilson, Dan Fredenburgh, George Sear, Georgie Farmer",,"November 12, 2019",2017,TV-PG,1 Season,Series
s750,TV Show,Disney Family Sundays,,,United States,"November 12, 2019",2019,TV-G,1 Season,"Anthology, Family, Lifestyle"
s751,TV Show,Disney Fast Layne,,"Sophie Pollono, Sofia Rosinsky, Brandon Rossel, Winslow Fegley",United States,"November 12, 2019",2018,TV-G,1 Season,"Action-Adventure, Animation, Comedy"
s752,Movie,Disney Girl vs. Monster,Stuart Gillard,"Olivia Holt, Kerris Dorsey, Brendan Meyer, Katherine McNamara, Adam Chambers, Tracy Dawson","United States, Canada","November 12, 2019",2012,TV-PG,90 min,"Action-Adventure, Comedy, Fantasy"
s753,TV Show,Disney Gravity Falls,,"Kristen Schaal, Jason Morgan, Alex Hirsch",United States,"November 12, 2019",2011,TV-Y7,2 Seasons,"Action-Adventure, Animation, Comedy"
s754,TV Show,Disney Gravity Falls (Shorts),,,,"November 12, 2019",2012,TV-G,1 Season,"Animation, Anthology, Comedy"
s755,TV Show,Disney Jake and the Never Land Pirates,,"Madison Pettis, Colin Ford, Jonathan Heit, David Arquette, Corey Burton",United States,"November 12, 2019",2010,TV-Y,4 Seasons,"Action-Adventure, Animation, Fantasy"
s756,TV Show,Disney JONAS,,"Kevin Jonas, Joe Jonas, Nick Jonas, Chelsea Staub, Nicole Anderson, John Ducey",United States,"November 12, 2019",2008,TV-G,2 Seasons,"Comedy, Family, Kids"
s757,TV Show,Disney Junior Music Nursery Rhymes,,,,"November 12, 2019",2017,TV-Y,2 Seasons,"Animation, Kids, Musical"
s758,TV Show,Disney K.C. Undercover,,"Zendaya , Veronica Dunne, Kamil McFadden, Tammy Townsend, Kadeem Hardison",United States,"November 12, 2019",2014,TV-Y7,3 Seasons,"Action-Adventure, Comedy, Kids"
s759,TV Show,Disney Lab Rats: Elite Force,,"William Brent, Bradley Perry, Jake Short, Paris Berelc, Kelli Berglund",United States,"November 12, 2019",2015,TV-Y7,1 Season,"Action-Adventure, Comedy, Coming of Age"
s760,TV Show,Disney Legend of the Three Caballeros,,"Tony Anselmo, Jaime Camil, Eric Bauza, Grey Griffin, Wayne Knight, Kevin Richardson",United States,"November 12, 2019",2017,TV-G,1 Season,"Action-Adventure, Animation, Comedy"
s761,TV Show,Disney Mickey Mouse Clubhouse,,"Wayne Allwine, Jim Cummings, Russi Taylor, Tony Anselmo, Bill Farmer, Tress MacNeille",United States,"November 12, 2019",2005,TV-Y,5 Seasons,"Animation, Kids"
s762,TV Show,Disney Milo Murphy's Law,,"Al Yankovic, Sabrina Carpenter, Mekai Curtis",United States,"November 12, 2019",2016,TV-Y7,2 Seasons,"Action-Adventure, Animation, Comedy"
s763,TV Show,Disney Minnie's Bow-Toons (Shorts),,,United States,"November 12, 2019",2011,TV-Y,3 Seasons,"Animation, Kids"
s764,TV Show,Disney Stuck In The Middle,,"Jenna Ortega, Ronni Hawk, Isaak Presley, Ariana Greenblatt, Kayla Maisonet, Nicolas Bechtel",United States,"November 12, 2019",2015,TV-PG,3 Seasons,"Comedy, Coming of Age, Family"
s765,TV Show,Disney Take Two With Phineas And Ferb (Shorts),,,United States,"November 12, 2019",2010,TV-G,1 Season,"Animation, Kids, Parody"
s766,TV Show,Disney Tangled: The Series - Short Cuts,,,,"November 12, 2019",2016,TV-Y7,1 Season,"Action-Adventure, Animation, Comedy"
s767,Movie,Disney Under The Sea: A Descendants Short Story,Hasraf Dulull,,,"November 12, 2019",2018,TV-G,10 min,"Fantasy, Musical, Thriller"
s768,TV Show,Disney's Adventures Of The Gummi Bears,,"Bill Scott, Christian Jacobs, Brett Johnson, David Faustino, Paul Winchell, Jason Marsden",United States,"November 12, 2019",1985,TV-Y7,6 Seasons,"Action-Adventure, Animation, Fantasy"
s769,TV Show,Disney's Doug,,"Connie Shulman, Doug Preis, Alice Playten, Chris Phillips, Fred Newman, Thomas McHugh",United States,"November 12, 2019",1996,TV-Y7,3 Seasons,"Animation, Comedy, Coming of Age"
s770,Movie,Disney's Fairy Tale Weddings,Chris Wilson,"Ben Higgins, Lauren Bushnell",,"November 12, 2019",2017,TV-PG,64 min,"Family, Lifestyle, Reality"
s771,Movie,Disney's Fairy Tale Weddings: Holiday Magic,Chris Wilson,"Stephen Boss, Allison Holker",,"November 12, 2019",2017,TV-PG,42 min,"Family, Lifestyle, Reality"
s772,TV Show,Disney's Hercules: The Animated Series,,"Tate Donovan, Sandra Bernhard, Robert Costanzo, Matt Frewer, Bobcat Goldthwait, French Stewart",United States,"November 12, 2019",1998,TV-Y7,1 Season,"Action-Adventure, Animation, Comedy"
s773,TV Show,Disney's Kim Possible,,"Christy Romano, Will Friedle, Nancy Cartwright, Tahj Mowry","United States, Philippines, South Korea","November 12, 2019",2001,TV-G,4 Seasons,"Action-Adventure, Animation, Comedy"
s774,TV Show,Disney's Little Einsteins,,"Erica Huang, Aiden Pompey, Jesse Schwartz, Natalia Wojcik",United States,"November 12, 2019",2005,TV-Y,2 Seasons,"Action-Adventure, Animation, Kids"
s775,TV Show,Disney's Mighty Ducks,,"James Belushi, Brad Garrett, Jeff Bennett, Jennifer Hale, Clancy Brown, Tony Jay",United States,"November 12, 2019",1996,TV-Y7,1 Season,"Action-Adventure, Animation, Comedy"
s776,TV Show,Disney's Recess,,"Rickey Collins, Jason Davis, Ashley Johnson, Ross Malinger, Courtland Mead, Pamela Segall",United States,"November 12, 2019",1997,TV-Y7,3 Seasons,"Animation, Comedy, Kids"
s777,TV Show,Disney's The Emperor's New School,,"Shane Baumel, Jessica DiCicco, Wendie Malick, Fred Tatasciore, Jeff Bennett, Jessie Flower",United States,"November 12, 2019",2005,TV-G,2 Seasons,"Animation, Comedy, Coming of Age"
s778,Movie,Disney's The Kid,Jon Turteltaub,"Bruce Willis, Spencer Breslin, Emily Mortimer, Lily Tomlin, Chi McBride, Jean Smart",United States,"November 12, 2019",2000,PG,105 min,"Comedy, Drama, Family"
s779,TV Show,Disney's The Little Mermaid (Series),,"Jodi Benson, Samuel Wright, Ken Mars, Edan Gross",United States,"November 12, 2019",1992,TV-Y7,3 Seasons,"Action-Adventure, Animation, Fantasy"
s780,Movie,Disneyland Around the Seasons (Walt Disney's Wonderful World of Color: 1961-69),Hamilton Luske,Walt Disney,United States,"November 12, 2019",1966,TV-PG,51 min,"Documentary, Family, Variety"
s781,Movie,Disneynature African Cats,Keith Scholey,Samuel Jackson,United States,"November 12, 2019",2011,G,90 min,"Animals & Nature, Documentary, Family"
s782,Movie,Disneynature Bears,"Alastair Fothergill, Keith Scholey",John Reilly,United States,"November 12, 2019",2014,G,78 min,"Animals & Nature, Documentary, Family"
s783,Movie,Disneynature Born in China,Lu Chuan,John Krasinski,"United Kingdom, China, United States","November 12, 2019",2017,G,81 min,"Animals & Nature, Documentary, Family"
s784,Movie,Disneynature Chimpanzee,"Alastair Fothergill, Mark Linfield",Tim Allen,"Tanzania, United States","November 12, 2019",2012,G,79 min,"Animals & Nature, Documentary, Family"
s785,Movie,Disneynature Crimson Wing,"Matthew Aeberhard, Leander Ward",Mariella Frostrup,"United States, United Kingdom","November 12, 2019",2008,G,78 min,"Animals & Nature, Documentary, Family"
s786,Movie,Disneynature Monkey Kingdom,Mark Linfield,Tina Fey,United States,"November 12, 2019",2015,G,82 min,"Animals & Nature, Documentary, Family"
s787,Movie,Disneynature Wings of Life,Louie Schwartzberg,Meryl Streep,"United States, Panama, Mexico","November 12, 2019",2011,G,81 min,"Animals & Nature, Documentary, Family"
s788,TV Show,Dog Whisperer with Cesar Millan,,Cesar Millan,United States,"November 12, 2019",2004,TV-G,6 Seasons,"Animals & Nature, Docuseries, Family"
s789,Movie,Don't Look Under the Bed,Kenneth Johnson,"Erin Chambers, Eric Hodges II, Eric Hodges, Robin Riker, Steve Valentine, Jake Sakson",United States,"November 12, 2019",1999,TV-PG,93 min,"Coming of Age, Fantasy"
s790,Movie,Donald's Golf Game,Jack King,,United States,"November 12, 2019",1938,TV-G,8 min,"Animation, Comedy, Family"
s791,Movie,Donald's Tire Trouble,Dick Lundy,,United States,"November 12, 2019",1943,TV-G,8 min,"Animation, Comedy, Family"
s792,Movie,Double Teamed,Duwayne Dunham,"Poppi Monroe, Annie McElwain, Teal Redmann, Nick Searcy, Tanya Goott, Joey Miyashima",United States,"November 12, 2019",2002,TV-G,93 min,"Biographical, Sports"
s793,Movie,Doug's 1st Movie,Maurice Joyce,"Thomas McHugh, Fred Newman, Chris Phillips, Constance Shulman, Frank Welker, Doug Preis",United States,"November 12, 2019",1999,G,80 min,"Animation, Comedy, Family"
s794,TV Show,"Dr. T, Lone Star Vet",,Dr. Lauren Thielen,United States,"November 12, 2019",2019,TV-PG,1 Season,"Docuseries, Family, Medical"
s795,Movie,DuckTales The Movie: Treasure of the Lost Lamp,Bob Hathcock,"Alan Young, Terence McGovern, Russi Taylor, Richard Libertini, Christopher Lloyd, June Foray","France, United States","November 12, 2019",1990,G,75 min,"Action-Adventure, Animation, Comedy"
s796,Movie,Dug's Special Mission,Ronnie Del Carmen,"Bob Peterson, Delroy Lindo, Jerome Ranft",United States,"November 12, 2019",2009,TV-PG,6 min,"Animation, Comedy, Family"
s797,Movie,Dumbo,Tim Burton,"Colin Farrell, Michael Keaton, Danny DeVito, Eva Green, Alan Arkin, Nico Parker","United States, United Kingdom, Australia, Canada","November 12, 2019",2019,PG,117 min,"Action-Adventure, Family, Fantasy"
s798,Movie,Early to Bed,Jack Kinney,,United States,"November 12, 2019",1941,TV-G,9 min,"Animation, Comedy, Family"
s799,Movie,Earth Live,Glenn Weiss,"Jane Lynch, Phil Keoghan, Chris Packham",United States,"November 12, 2019",2017,TV-PG,94 min,"Animals & Nature, Documentary, Family"
s800,Movie,Easter Island Unsolved,Geoff Luck,Peter Demeo,United States,"November 12, 2019",2018,TV-14,45 min,"Documentary, Historical"
s801,Movie,Eddie's Million Dollar Cook-off,Paul Hoen,"Taylor Ball, Orlando Brown, Reiley McClendon, Mark Taylor, Rose McIver, Kylie Leydon",United States,"November 12, 2019",2003,TV-G,86 min,"Comedy, Coming of Age, Sports"
s802,Movie,Eight Below,Frank Marshall,"Paul Walker, Bruce Greenwood, Moon Bloodgood, Wendy Crewson, Gerard Plunkett, August Schellenberg",United States,"November 12, 2019",2006,PG,122 min,"Action-Adventure, Animals & Nature, Drama"
s803,TV Show,Elena of Avalor (Shorts),,"Aimee Carrero, Jenna Ortega, Maximus Riegel, Gia Lopez, Desmond Gerber, Mick Wingert",,"November 12, 2019",2017,TV-Y,2 Seasons,"Action-Adventure, Animation, Fantasy"
s804,Movie,Emil and the Detectives,Peter Tewksbury,"Walter Slezak, Roger Mobley, Heinz Schubert, Peter Ehrlich, Cindy Cassell, Elsa Wagner",United States,"November 12, 2019",1964,TV-PG,98 min,"Action-Adventure, Crime, Family"
s805,Movie,Empire of Dreams: The Story of the Star Wars Trilogy,"Edith Becker, Kevin Burns","Robert Clotworthy, Walter Cronkite, Anthony Daniels, Warwick Davis, Carrie Fisher, Harrison Ford",United States,"November 12, 2019",2004,TV-14,151 min,Documentary
s806,TV Show,Encore!,,"Kristen Bell, Roger Love, Susan Egan, Ali Stroker, Stephen Schwartz",United States,"November 12, 2019",2019,TV-14,1 Season,"Music, Reality"
s807,Movie,Escape to Witch Mountain,John Hough,"Eddie Albert, Ray Milland, Donald Pleasence, Kim Richards, Ike Eisenmann, Walter Barnes",United States,"November 12, 2019",1975,G,98 min,"Action-Adventure, Family, Fantasy"
s808,TV Show,Even Stevens,,"Shia LaBeouf, Christy Romano, Nick Spano, Tom Virtue, Donna Pescow",United States,"November 12, 2019",2000,TV-PG,3 Seasons,"Comedy, Coming of Age, Kids"
s809,Movie,Expedition Mars: Spirit & Opportunity,Mark Davis,Bray Poor,United States,"November 12, 2019",2019,TV-PG,88 min,Documentary
s810,Movie,Fantasia,"Samuel Armstrong, James Algar, Bill Roberts","Deems Taylor, Walt Disney, Leopold Stokowski",United States,"November 12, 2019",1940,G,126 min,"Animation, Family, Fantasy"
s811,Movie,Fantasia 2000,"Pixote Hunt, Hendel Butoy, Eric Goldberg","Steve Martin, Itzhak Perlman, Quincy Jones, Bette Midler, James Jones, Penn Teller",United States,"November 12, 2019",2000,G,76 min,"Animation, Family, Fantasy"
s812,TV Show,Fantastic Four (Series),,"Beau Weaver, Lori Alan, Chuck McCann, Brian Green, Stan Lee, Pauline Lomas",United States,"November 12, 2019",1994,TV-Y7,1 Season,"Action-Adventure, Animation, Kids"
s813,TV Show,Fantastic Four: World's Greatest Heroes,,"Christopher Jacot, Hiro Kanagawa, Lara Gilchrist, Brian Dobson",United States,"November 12, 2019",2007,TV-Y7,1 Season,"Action-Adventure, Animation, Kids"
s814,Movie,Ferdinand the Bull,Dick Rickard,,United States,"November 12, 2019",1938,TV-G,8 min,"Animation, Comedy, Family"
s815,Movie,Finding Dory,"Andrew Stanton, Angus MacLane","Ellen DeGeneres, Albert Brooks, Ed O'Neill, Kaitlin Olson, Hayden Rolence, Ty Burrell",United States,"November 12, 2019",2016,PG,98 min,"Action-Adventure, Animation, Comedy"
s816,Movie,Finding Nemo,Andrew Stanton,"Albert Brooks, Ellen DeGeneres, Alexander Gould, Willem Dafoe, Brad Garrett, Allison Janney","United States, Australia","November 12, 2019",2003,G,103 min,"Action-Adventure, Animation, Comedy"
s817,Movie,First Kid,David Evans,"Sinbad , Robert Guillaume, Timothy Busfield, Brock Pierce, James Naughton, Art Fleur",United States,"November 12, 2019",1996,PG,102 min,"Buddy, Comedy, Coming of Age"
s818,Movie,Flight of the Navigator,Randal Kleiser,"Joey Cramer, Veronica Cartwright, Cliff De Young, Sarah Parker, Matt Adler, Howard Hesseman",United States,"November 12, 2019",1986,PG,90 min,"Action-Adventure, Science Fiction"
s819,Movie,Float,Bobby Rubio,"Eli Fucile, Bobby Rubio, Luna Watson, Mika Kubo",United States,"November 12, 2019",2019,PG,10 min,"Animation, Family, Fantasy"
s820,Movie,Flowers and Trees,Burt Gillett,,United States,"November 12, 2019",1932,TV-Y7,8 min,"Animation, Family, Kids"
s821,Movie,Flubber,Les Mayfield,"Robin Williams, Marcia Harden, Christopher McDonald, Raymond Barry, Clancy Brown, Ted Levine",United States,"November 12, 2019",1997,PG,96 min,"Comedy, Family, Science Fiction"
s822,Movie,Food for Feudin',Charles Nichols,,United States,"November 12, 2019",1950,TV-G,7 min,"Animation, Comedy, Family"
s823,Movie,For the Birds,Ralph Eggleston,,United States,"November 12, 2019",2001,G,4 min,"Animation, Comedy, Family"
s824,Movie,Forky Asks a Question: What is Money?,Bob Peterson,"Tony Hale, John Ratzenberger, Bob Peterson",United States,"November 12, 2019",2019,TV-G,6 min,"Animation, Comedy, Family"
s825,Movie,Frank and Ollie,Theodore Thomas,"Frank Thomas, Ollie Johnston, Sylvia Roemer, John Canemaker, John Culhane, Marie Johnston",United States,"November 12, 2019",1995,PG,89 min,"Biographical, Documentary"
s826,Movie,Frankenweenie (Short),Tim Burton,"Shelley Duvall, Daniel Stern, Barret Oliver",United States,"November 12, 2019",1984,PG,27 min,"Drama, Parody, Science Fiction"
s827,Movie,Freaky Friday,Mark Waters,"Jamie Curtis, Lindsay Lohan, Harold Gould, Chad Murray, Stephen Tobolowsky, Christina Vidal",United States,"November 12, 2019",2003,PG,98 min,"Comedy, Family, Fantasy"
s828,Movie,Free Solo,"Elizabeth Vasarhelyi, Jimmy Chin","Alex Honnold, Tommy Caldwell",United States,"November 12, 2019",2018,TV-PG,101 min,"Action-Adventure, Documentary, Sports"
s829,Movie,Frenemies,Daisy Mayer,"Zendaya , Bella Thorne, Mary Mouser, Nick Robinson, Stefanie Scott, Connor Price",United States,"November 12, 2019",2012,TV-G,88 min,"Anthology, Comedy, Coming of Age"
s830,Movie,Frozen,"Chris Buck, Jennifer Lee","Kristen Bell, Idina Menzel, Jonathan Groff, Josh Gad, Santino Fontana, Alan Tudyk",United States,"November 12, 2019",2013,PG,105 min,"Animation, Family, Fantasy"
s831,Movie,Full-Court Miracle,Stuart Gillard,"Alex Linz, R.H. Thomson, Sean Marquette, Jase Blankfort, Erik Knudsen, David Sazant",United States,"November 12, 2019",2003,TV-G,95 min,"Coming of Age, Drama, Sports"
s832,Movie,Fun and Fancy Free,"Jack Kinney, W. Roberts, Hamilton Luske","Edgar Bergen, Dinah Shore, Luana Patten, Clarence Nash, Mickey Mouse, Cliff Edwards",United States,"November 12, 2019",1947,G,74 min,"Action-Adventure, Animation, Comedy"
s833,Movie,Fuzzbucket,Mick Garris,"Chris Hebert, Phil Fondacaro, Joe Regalbuto, Wendy Phillips, Robyn Lively, John Vernon",United States,"November 12, 2019",1986,TV-G,46 min,"Buddy, Comedy, Coming of Age"
s834,TV Show,Gargoyles,,"Thom Hernandez, Edward Asner, Jeff Bennett, Keith David, Bill Fagerbakke, Jonathan Frakes",United States,"November 12, 2019",1994,TV-Y7,3 Seasons,"Action-Adventure, Animation, Fantasy"
s835,Movie,Geek Charming,Jeffrey Hornaday,"Sarah Hyland, Matt Prokop, Sasha Pieterse, Jordan Nichols, Vanessa Morgan, Lili Simmons",United States,"November 12, 2019",2011,TV-G,99 min,"Comedy, Coming of Age, Drama"
s836,Movie,Genius,Rod Daniel,"Trevor Morgan, Emmy Rossum, Yannick Bisson, Peter Keleghan, Philip Granger, Charles Fleischer",United States,"November 12, 2019",1999,TV-G,86 min,"Comedy, Coming of Age"
s837,Movie,George & A.J.,Josh Cooley,"Jason Topolski, A.J. Riebli  III, Steve Purcell, Peter Sohn, Bob Peterson, Kim Donovan",United States,"November 12, 2019",2009,TV-G,4 min,"Animation, Comedy, Family"
s838,Movie,Geri's Game,Jan Pinkava,Bob Peterson,United States,"November 12, 2019",1997,G,5 min,"Animation, Family, Kids"
s839,Movie,Get a Clue,Maggie Greenwald,"Lindsay Lohan, Bug Hall, Ian Gomez, Brenda Song, Ali Mukadam, Dan Lett",United States,"November 12, 2019",2002,TV-G,84 min,"Drama, Mystery"
s840,Movie,Giants of the Deep Blue,Ken Corben,Bill Graves,,"November 12, 2019",2018,TV-PG,45 min,"Animals & Nature, Documentary, Family"
s841,TV Show,Girl Meets World,,"Rowan Blanchard, Ben Savage, Sabrina Carpenter, Peyton Meyer, August Maturo, Danielle Fishel",United States,"November 12, 2019",2013,TV-G,3 Seasons,"Comedy, Coming of Age, Family"
s842,Movie,Go Figure,Francine McDougall,"Jordan Hinson, Whitney Sloan, Cristine Rose",United States,"November 12, 2019",2005,TV-G,89 min,"Coming of Age, Sports"
s843,Movie,Going to the Mat,Stuart Gillard,"Andrew Lawrence, Khleo Thomas, Alessandra Toreson, Billy Brown, Brenda Strong, Brian Wimmer",United States,"November 12, 2019",2004,TV-G,92 min,"Coming of Age, Sports"
s844,TV Show,Good Luck Charlie,,"Bridgit Mendler, Leigh-Allyn Baker, Bradley Perry, Mia Talerico, Eric Kramer, Jason Dolley",United States,"November 12, 2019",2009,TV-G,4 Seasons,"Comedy, Coming of Age, Family"
s845,Movie,"Good Luck Charlie, It's Christmas!",Arlene Sanford,"Bridgit Mendler, Leigh-Allyn Baker, Bradley Perry, Mia Talerico, Debra Monk, Michael Kagan",United States,"November 12, 2019",2011,TV-G,82 min,"Comedy, Coming of Age, Family"
s846,TV Show,Goof Troop,,"Nancy Cartwright, Jim Cummings, Dana Hill, Rob Paulson, Corey Burton, Bill Farmer",United States,"November 12, 2019",1992,TV-Y7,1 Season,"Animation, Comedy, Kids"
s847,Movie,Gotta Kick it Up,Ramon Menendez,"Camille Guaty, America Ferrera, Jhoanna Flores, Suilma Rodriguez, Sabrina Wiener, Miguel Sandoval",United States,"November 12, 2019",2002,TV-G,85 min,"Coming of Age, Dance, Drama"
s848,Movie,Grand Canyonscope,C. Nichols,,United States,"November 12, 2019",1954,TV-G,7 min,"Animation, Comedy, Family"
s849,Movie,Grasshopper and the Ants,Wilfred Jackson,,United States,"November 12, 2019",1934,TV-G,8 min,"Animation, Family, Music"
s850,TV Show,Great Migrations,,Alec Baldwin,United States,"November 12, 2019",2010,TV-PG,1 Season,"Animals & Nature, Docuseries, Survival"
s851,Movie,Greyfriars Bobby,Don Chaffey,"Donald Crisp, Laurence Naismith, Alex Mackenzie, Duncan Macrae, Andrew Cruickshank, Gordon Jackson",United States,"November 12, 2019",1961,TV-G,91 min,"Animals & Nature, Drama, Family"
s852,Movie,Gus,Vincent McEveety,"Edward Asner, Don Knotts, Gary Grimes, Tim Conway, Liberty Williams, Dick Van Patten",United States,"November 12, 2019",1976,G,97 min,"Animals & Nature, Comedy, Family"
s853,Movie,Halloweentown,Duwayne Dunham,"Debbie Reynolds, Judith Hoag, Kimberly Brown, Joey Zimmerman, Phillip Van Dyke, Emily Roeske",United States,"November 12, 2019",1998,TV-PG,84 min,"Action-Adventure, Comedy, Coming of Age"
s854,Movie,Halloweentown High,Mark Dippé,"Kimberly Brown, Judith Hoag, Joey Zimmerman, Emily Roeske, Clifton Davis, Finn Wittrock",United States,"November 12, 2019",2004,TV-G,83 min,"Action-Adventure, Comedy, Fantasy"
s855,Movie,Halloweentown II: Kalabar's Revenge,Mary Lambert,"Kimberly Brown, Judith Hoag, Daniel Kountz, Joseph Zimmerman, Emily Roeske, Phillip Van Dyke",United States,"November 12, 2019",2001,TV-PG,81 min,"Action-Adventure, Fantasy"
s856,TV Show,Handy Manny,,"Wilmer Valderrama, Carlos Alazraqui, Dee Baker, Nika Futterman, Tom Kenny, Kath Soucie","United States, Canada","November 12, 2019",2006,TV-Y,3 Seasons,"Animation, Kids"
s857,TV Show,Hannah Montana,,"Miley Cyrus, Emily Osment, Mitchel Musso, Jason Earles, Billy Cyrus",United States,"November 12, 2019",2005,TV-G,4 Seasons,"Comedy, Coming of Age, Kids"
s858,Movie,Hannah Montana and Miley Cyrus: Best of Both Worlds Concert,Bruce Hendricks,"Miley Cyrus, Joe Jonas, Kevin Jonas, Nick Jonas, Kenny Ortega, Billy Cyrus",United States,"November 12, 2019",2008,G,83 min,"Concert Film, Documentary, Music"
s859,Movie,Hannah Montana The Movie,Peter Chelsom,"Miley Cyrus, Emily Osment, Margo Martindale, Jason Earles, Peter Gunn, Melora Hardin",United States,"November 12, 2019",2009,G,105 min,"Comedy, Coming of Age, Drama"
s860,Movie,Hatching Pete,Stuart Gillard,"Jason Dolley, Mitchel Musso, Tiffany Thornton, Josie Loren, Sean O'Bryan, Amy Farrington",United States,"November 12, 2019",2009,TV-G,90 min,"Comedy, Coming of Age"
s861,Movie,Hawaiian Holiday,Ben Sharpsteen,"Walt Disney, Marcellite Garner, Clarence Nash, Pinto Colvig",United States,"November 12, 2019",1937,TV-G,9 min,"Animation, Comedy, Family"
s862,Movie,Heavyweights,Steven Brill,"Tom McGowan, Aaron Schwartz, Shaun Weiss, Tom Hodges, Leah Lail, Paul Feig",United States,"November 12, 2019",1995,PG,98 min,"Comedy, Family"
s863,Movie,Herbie Goes Bananas,Vincent McEveety,"Cloris Leachman, Charles Smith, John Vernon, Stephen Burns, Elyssa Davalos, Joaquin Garay  III",United States,"November 12, 2019",1980,G,93 min,"Action-Adventure, Comedy, Family"
s864,Movie,Herbie Goes to Monte Carlo,Vincent McEveety,"Dean Jones, Don Knotts, Julie Sommars, Jacques Marin, Roy Kinnear, Bernard Fox",United States,"November 12, 2019",1977,G,105 min,"Action-Adventure, Comedy, Family"
s865,Movie,Herbie Rides Again,Robert Stevenson,"Helen Hayes, Ken Berry, Stefanie Powers, John McIntire, Keenan Wynn, Huntz Hall",United States,"November 12, 2019",1974,G,89 min,"Comedy, Family, Romantic Comedy"
s866,Movie,Hercules,"John Musker, Ron Clements","Tate Donovan, Joshua Keaton, Roger Bart, Danny DeVito, James Woods, Susan Egan","United States, France","November 12, 2019",1997,G,98 min,"Action-Adventure, Animation, Comedy"
s867,Movie,High School Musical,Kenny Ortega,"Zac Efron, Vanessa Hudgens, Ashley Tisdale, Lucas Grabeel, Alyson Reed, Corbin Bleu",United States,"November 12, 2019",2006,TV-G,100 min,"Coming of Age, Musical, Romance"
s868,Movie,High School Musical 2,Kenny Ortega,"Zac Efron, Vanessa Hudgens, Ashley Tisdale, Lucas Grabeel, Corbin Bleu, Monique Coleman",United States,"November 12, 2019",2007,TV-G,114 min,"Coming of Age, Musical"
s869,Movie,High School Musical 3: Senior Year,Kenny Ortega,"Zac Efron, Vanessa Hudgens, Ashley Tisdale, Lucas Grabeel, Corbin Bleu, Monique Coleman",United States,"November 12, 2019",2008,G,121 min,"Coming of Age, Family, Musical"
s870,TV Show,High School Musical: The Musical: The Series,,"Olivia Rodrigo, Joshua Bassett, Matt Cornett, Sofia Wylie, Larry Saperstein",United States,"November 12, 2019",2019,TV-PG,2 Seasons,"Comedy, Coming of Age, Drama"
